dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
All_Beauty,iterative,meteor,bertscore_precision,-0.477390459216882,0.16292627726722667,"(-0.8511731781653746, 0.21765936965556118)"
All_Beauty,iterative,meteor,bertscore_recall,-0.7510107369658218,0.012293686801777975,"(-0.9373875874428694, -0.2302681285133835)"
All_Beauty,iterative,meteor,bertscore_f1,-0.7125688151397421,0.02074472132841764,"(-0.9265130987925545, -0.15043588587939158)"
All_Beauty,iterative,meteor,consistency,-0.4869223829917452,0.15349850143936408,"(-0.8545587866909412, 0.20579697747226858)"
All_Beauty,iterative,meteor,nepc,0.15361611117650661,0.6717828418988755,"(-0.5269800960483957, 0.714167590994486)"
All_Beauty,iterative,bleu1,bertscore_precision,-0.5398379063170691,0.10724733062941373,"(-0.8728021288428727, 0.13602161723947223)"
All_Beauty,iterative,bleu1,bertscore_recall,-0.6676315490762772,0.03490454564782569,"(-0.913331357536466, -0.06556680460008323)"
All_Beauty,iterative,bleu1,bertscore_f1,-0.6789326583318785,0.030864798689502954,"(-0.9166955678369815, -0.08612071015801674)"
All_Beauty,iterative,bleu1,consistency,-0.27754172054867354,0.4375219869943704,"(-0.7722237922788038, 0.426638644901742)"
All_Beauty,iterative,bleu1,nepc,-0.05837420776881786,0.8727406536263008,"(-0.6636102202765567, 0.5930489770488738)"
All_Beauty,iterative,rouge1_f,bertscore_precision,-0.43873841202267044,0.20464263920506717,"(-0.837118153094748, 0.2637451866001122)"
All_Beauty,iterative,rouge1_f,bertscore_recall,-0.7634174107546017,0.010185450240628925,"(-0.9408213132312127, -0.2576213827064063)"
All_Beauty,iterative,rouge1_f,bertscore_f1,-0.7061285157770861,0.022472510340239726,"(-0.9246556220048302, -0.13774183267839915)"
All_Beauty,iterative,rouge1_f,consistency,-0.5386752464480877,0.10815454801657615,"(-0.8724110395638415, 0.1376303168285882)"
All_Beauty,iterative,rouge1_f,nepc,0.19228457876810826,0.5945873464663323,"(-0.49758279022578367, 0.7331502625656527)"
All_Beauty,iterative,bleu4,bertscore_precision,-0.43990740686945295,0.2032987180273605,"(-0.8375510902091783, 0.26239686037598553)"
All_Beauty,iterative,bleu4,bertscore_recall,-0.6239336284994839,0.05387147878899584,"(-0.8999995756224317, 0.009375978287244933)"
All_Beauty,iterative,bleu4,bertscore_f1,-0.6095409469643445,0.06136266632546275,"(-0.8954924559477981, 0.03259461162977095)"
All_Beauty,iterative,bleu4,consistency,-0.3204373542096064,0.3666918000842376,"(-0.7905629960716697, 0.387336282171501)"
All_Beauty,iterative,bleu4,nepc,0.00376725723412602,0.9917592417557253,"(-0.6273470880098527, 0.6318947259323006)"
All_Beauty,iterative,bleu3,bertscore_precision,-0.4891401321899021,0.15135350206428863,"(-0.8553420454665749, 0.20300750411901547)"
All_Beauty,iterative,bleu3,bertscore_recall,-0.6639874590656771,0.03627985725388017,"(-0.912239355369968, -0.05904628129180414)"
All_Beauty,iterative,bleu3,bertscore_f1,-0.65692885221942,0.03904712301845341,"(-0.9101140626606685, -0.046561166928970665)"
All_Beauty,iterative,bleu3,consistency,-0.33336318728958475,0.34654764246730824,"(-0.795928655218141, 0.37496639622159156)"
All_Beauty,iterative,bleu3,nepc,-0.00177671682884133,0.996113444205704,"(-0.6306974763573554, 0.6285527251555298)"
All_Beauty,iterative,bertscore_precision,bertscore_precision,-0.1337636553146104,0.7125715881296371,"(-0.7040906553509635, 0.5414654710042838)"
All_Beauty,iterative,bertscore_precision,bertscore_recall,0.3819791519414947,0.27603590087494323,"(-0.3260677971451184, 0.8154793166796145)"
All_Beauty,iterative,bertscore_precision,bertscore_f1,0.21151856424953944,0.5574544636710711,"(-0.48234535791077654, 0.7422886110065955)"
All_Beauty,iterative,bertscore_precision,consistency,0.4030775175142849,0.24809942837843912,"(-0.3035985021045563, 0.8236668783929656)"
All_Beauty,iterative,bertscore_precision,nepc,-0.16717499611980796,0.6443547199804573,"(-0.7209189702331907, 0.5168542301882622)"
All_Beauty,iterative,rouge2_f,bertscore_precision,-0.17308350493189514,0.6325200707429026,"(-0.7238284783421101, 0.5123810163893251)"
All_Beauty,iterative,rouge2_f,bertscore_recall,-0.5138131137215362,0.12871684121534926,"(-0.8639445098445714, 0.17119725265142383)"
All_Beauty,iterative,rouge2_f,bertscore_f1,-0.42779644314470094,0.217470627145829,"(-0.8330414523744267, 0.27623401057645)"
All_Beauty,iterative,rouge2_f,consistency,-0.45629717242107287,0.18499688949495552,"(-0.8435689086643106, 0.24319955877965777)"
All_Beauty,iterative,rouge2_f,nepc,0.24827178760095972,0.48916132899015646,"(-0.45201238723860343, 0.7592182674049387)"
All_Beauty,iterative,bertscore_f1,bertscore_precision,0.41151839820973984,0.23738420150978093,"(-0.2943834908857029, 0.8268941131217948)"
All_Beauty,iterative,bertscore_f1,bertscore_recall,0.713128456617641,0.020599058820608952,"(0.15154778196934152, 0.9266740166551583)"
All_Beauty,iterative,bertscore_f1,bertscore_f1,0.6596417260181553,0.03796730809001979,"(0.05133718445855475, 0.9109324674107987)"
All_Beauty,iterative,bertscore_f1,consistency,0.5066724715843063,0.13503762895515176,"(-0.1805527359741172, 0.8614756944568062)"
All_Beauty,iterative,bertscore_f1,nepc,-0.2095711909552588,0.5611725711933024,"(-0.7413722817734497, 0.48390743801349745)"
All_Beauty,iterative,rougeL_f,bertscore_precision,-0.45075913601371087,0.19106813422075192,"(-0.8415463337048228, 0.24974813417783379)"
All_Beauty,iterative,rougeL_f,bertscore_recall,-0.7381166234180735,0.014790631960838956,"(-0.9337801443219022, -0.20268625426649736)"
All_Beauty,iterative,rougeL_f,bertscore_f1,-0.6931793116612509,0.026241627876331608,"(-0.9208891405786602, -0.11277140669647985)"
