dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
All_Beauty,iterative,bertscore_precision,hit_rate_at_1,-0.20240364782991432,0.5749390879169898,"(-0.7379824532907836, 0.48961904792031036)"
All_Beauty,iterative,bertscore_precision,hit_rate_at_5,-0.6870869400875005,0.02815607306021463,"(-0.9191022477895521, -0.10127150281067514)"
All_Beauty,iterative,bertscore_precision,hit_rate_at_10,-0.04514356748736454,0.9014494500676041,"(-0.6561205739686549, 0.6015818409084752)"
All_Beauty,iterative,bertscore_precision,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,iterative,bertscore_precision,ndcg_at_5,0.182121739876168,0.6145617730793165,"(-0.5054656136281614, 0.7282415716224234)"
All_Beauty,iterative,bertscore_precision,ndcg_at_10,0.07507301174287721,0.8367002105455941,"(-0.5820663683592906, 0.6728930423984595)"
All_Beauty,iterative,bertscore_precision,true_positive,0.4826416220357717,0.1576905933292962,"(-0.2111496482747941, 0.8530421746044358)"
All_Beauty,iterative,bertscore_precision,true_negative,-0.09965805836369183,0.7841502624329525,"(-0.6862255354725517, 0.5654486368343418)"
All_Beauty,iterative,bertscore_precision,accuracy,0.4554736407181346,0.18589242145442983,"(-0.2441774152159948, 0.8432688362018846)"
All_Beauty,iterative,bertscore_recall,hit_rate_at_1,0.003039080345771403,0.9933520731441667,"(-0.6277884838359948, 0.6314570971045167)"
All_Beauty,iterative,bertscore_recall,hit_rate_at_5,-0.4695438053264633,0.17094179755607017,"(-0.848362617199709, 0.22727276189143092)"
All_Beauty,iterative,bertscore_recall,hit_rate_at_10,-0.041250962002247774,0.9099169140823229,"(-0.6538938789909317, 0.6040645192425379)"
All_Beauty,iterative,bertscore_recall,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,iterative,bertscore_recall,ndcg_at_5,0.16912254275556485,0.6404457079149397,"(-0.5153838969872406, 0.7218801559614253)"
All_Beauty,iterative,bertscore_recall,ndcg_at_10,0.01920151155001113,0.9580121765957677,"(-0.6178950014165752, 0.6410773301824033)"
All_Beauty,iterative,bertscore_recall,true_positive,0.541527919076329,0.10593719597199378,"(-0.1336768796335083, 0.8733698448196067)"
All_Beauty,iterative,bertscore_recall,true_negative,-0.22241827168851822,0.5368231063192187,"(-0.7473810374644867, 0.47351994866017316)"
All_Beauty,iterative,bertscore_recall,accuracy,0.27375010582990783,0.4440655501578989,"(-0.4299892575181691, 0.7705621148518961)"
All_Beauty,iterative,bertscore_f1,hit_rate_at_1,-0.07568190253737242,0.8353908367419096,"(-0.6732280024388284, 0.5816613256600156)"
All_Beauty,iterative,bertscore_f1,hit_rate_at_5,-0.6003809026275869,0.06646980913131775,"(-0.8925930861549782, 0.04701950413626959)"
All_Beauty,iterative,bertscore_f1,hit_rate_at_10,-0.04882400754440524,0.8934517136642418,"(-0.6582161643116076, 0.5992229326546898)"
All_Beauty,iterative,bertscore_f1,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,iterative,bertscore_f1,ndcg_at_5,0.1874911022827141,0.6039791715176854,"(-0.5013151105689515, 0.7308419954413251)"
All_Beauty,iterative,bertscore_f1,ndcg_at_10,0.03916255039239281,0.9144631897443785,"(-0.6053913517469612, 0.6526948501642917)"
All_Beauty,iterative,bertscore_f1,true_positive,0.5681428505994168,0.08662751448685586,"(-0.09572651773389415, 0.8821930859765409)"
All_Beauty,iterative,bertscore_f1,true_negative,-0.19757395768589253,0.5842863605422242,"(-0.7356829473330923, 0.49343448769347453)"
All_Beauty,iterative,bertscore_f1,accuracy,0.36894978454645455,0.294102799321178,"(-0.33955540120073713, 0.8103348937711786)"
All_Beauty,iterative,consistency,hit_rate_at_1,-0.028710716265016974,0.9372470528064618,"(-0.646647554542609, 0.6119783298951756)"
All_Beauty,iterative,consistency,hit_rate_at_5,-0.1664049677400979,0.6459024537503664,"(-0.7205383443759666, 0.5174344649766867)"
All_Beauty,iterative,consistency,hit_rate_at_10,0.10729316410313561,0.7679794611929238,"(-0.5601755718337159, 0.6902873781742962)"
All_Beauty,iterative,consistency,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,iterative,consistency,ndcg_at_5,0.30898199409018173,0.3850175319168907,"(-0.39809000587967547, 0.7857466372693795)"
All_Beauty,iterative,consistency,ndcg_at_10,0.11121745882792111,0.7596988509652229,"(-0.5574441089725611, 0.6923608855469034)"
All_Beauty,iterative,consistency,true_positive,0.40772085121999996,0.24217218235519064,"(-0.298545625443461, 0.8254455599340295)"
All_Beauty,iterative,consistency,true_negative,-0.6060803106653186,0.06326067824591974,"(-0.8943999281027273, 0.038075915227618023)"
All_Beauty,iterative,consistency,accuracy,-0.12685738116864212,0.7269222830306934,"(-0.7005303968017162, 0.5464123747154563)"
All_Beauty,iterative,nepc,hit_rate_at_1,0.31908672134714755,0.3688295394025608,"(-0.3886142840656724, 0.789998136541174)"
All_Beauty,iterative,nepc,hit_rate_at_5,-0.21112504871089474,0.558205028204894,"(-0.7421036036415877, 0.4826613714806729)"
All_Beauty,iterative,nepc,hit_rate_at_10,-0.18220654450260454,0.6143941246854574,"(-0.7282827657531907, 0.5054003062565773)"
All_Beauty,iterative,nepc,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,iterative,nepc,ndcg_at_5,0.44784101241704916,0.19431356054801807,"(-0.2531731484654738, 0.840476164484286)"
All_Beauty,iterative,nepc,ndcg_at_10,0.3493589482033949,0.32241986060484984,"(-0.3593012638171041, 0.802469563882889)"
All_Beauty,iterative,nepc,true_positive,-0.41294934980504105,0.23559398116135483,"(-0.8274385155716569, 0.29280818225671507)"
All_Beauty,iterative,nepc,true_negative,0.6103500538844143,0.0609243743365045,"(-0.0313074712016111, 0.8957473960976582)"
All_Beauty,iterative,nepc,accuracy,0.0340050694455664,0.925699866889605,"(-0.6086527828715729, 0.6497205373205519)"
