dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
All_Beauty,preference_negative,bertscore_precision,hit_rate_at_1,-0.10949094938305737,0.7633392813026716,"(-0.6914498184759683, 0.5586476132262774)"
All_Beauty,preference_negative,bertscore_precision,hit_rate_at_5,0.07664354996089157,0.8333236290384216,"(-0.5810209596582692, 0.6737565202016124)"
All_Beauty,preference_negative,bertscore_precision,hit_rate_at_10,0.07334951261025666,0.8404084143700108,"(-0.5832110989736359, 0.6719435885571905)"
All_Beauty,preference_negative,bertscore_precision,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,preference_negative,bertscore_precision,ndcg_at_5,0.0,1.0,"(nan, nan)"
All_Beauty,preference_negative,bertscore_precision,ndcg_at_10,0.021425126853089067,0.9531540429406367,"(-0.6165178909802925, 0.6423857568551217)"
All_Beauty,preference_negative,bertscore_precision,true_positive,0.038040621617881326,0.9169064535459568,"(-0.6061026716654628, 0.6520494407749886)"
All_Beauty,preference_negative,bertscore_precision,true_negative,-0.2596461379055422,0.46879081861570865,"(-0.7643211828704874, 0.44228491720992685)"
All_Beauty,preference_negative,bertscore_precision,accuracy,-0.032826476135605354,0.9282694120350758,"(-0.6490381873932242, 0.6093950527142137)"
All_Beauty,preference_negative,bertscore_recall,hit_rate_at_1,-0.13635861335488833,0.7072001360075693,"(-0.7054210142542001, 0.5395945615218335)"
All_Beauty,preference_negative,bertscore_recall,hit_rate_at_5,0.13969692746052617,0.7003070686214561,"(-0.5371778496351542, 0.7071265933493033)"
All_Beauty,preference_negative,bertscore_recall,hit_rate_at_10,0.10673321584615462,0.769162746426305,"(-0.5605641380715087, 0.6899907316120438)"
All_Beauty,preference_negative,bertscore_recall,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,preference_negative,bertscore_recall,ndcg_at_5,0.0,1.0,"(nan, nan)"
All_Beauty,preference_negative,bertscore_recall,ndcg_at_10,0.1040913654597724,0.7747512714166878,"(-0.5623934487010109, 0.6885884975094123)"
All_Beauty,preference_negative,bertscore_recall,true_positive,-0.2474478019513883,0.4906515869199161,"(-0.7588461433005822, 0.45271065779319275)"
All_Beauty,preference_negative,bertscore_recall,true_negative,0.3151913662507714,0.375029455604009,"(-0.3922849757045585, 0.7883645373913294)"
All_Beauty,preference_negative,bertscore_recall,accuracy,0.11832155956406339,0.744764847280762,"(-0.5524622776800616, 0.6960902722196223)"
All_Beauty,preference_negative,bertscore_f1,hit_rate_at_1,-0.14910268110589533,0.6809927835406787,"(-0.7118968397961788, 0.5303084280122027)"
All_Beauty,preference_negative,bertscore_f1,hit_rate_at_5,0.14276609112124516,0.6939870738900673,"(-0.5349461352961918, 0.7086888563743905)"
All_Beauty,preference_negative,bertscore_f1,hit_rate_at_10,0.11469547270867521,0.7523782380192965,"(-0.5550111141025866, 0.6941906002549706)"
All_Beauty,preference_negative,bertscore_f1,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,preference_negative,bertscore_f1,ndcg_at_5,0.0,1.0,"(nan, nan)"
All_Beauty,preference_negative,bertscore_f1,ndcg_at_10,0.09668918763150973,0.7904586773019147,"(-0.5674844634136208, 0.6846361693100277)"
All_Beauty,preference_negative,bertscore_f1,true_positive,-0.22358444342751796,0.5346340746294427,"(-0.7479222534026961, 0.47256735970606945)"
All_Beauty,preference_negative,bertscore_f1,true_negative,0.2251171873768962,0.531762427279642,"(-0.47131285680994894, 0.7486325354074035)"
All_Beauty,preference_negative,bertscore_f1,accuracy,0.09060042196172438,0.8034303975204424,"(-0.5716344261402282, 0.6813590011573889)"
All_Beauty,preference_negative,consistency,hit_rate_at_1,0.294883549908979,0.4081681430303624,"(-0.4110634343663882, 0.7797385674581233)"
All_Beauty,preference_negative,consistency,hit_rate_at_5,0.05825644014330043,0.8729956510204485,"(-0.5931255801175406, 0.663544084910807)"
All_Beauty,preference_negative,consistency,hit_rate_at_10,0.13251904576185403,0.7151519353961985,"(-0.5423604412013509, 0.7034511567777723)"
All_Beauty,preference_negative,consistency,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,preference_negative,consistency,ndcg_at_5,0.0,1.0,"(nan, nan)"
All_Beauty,preference_negative,consistency,ndcg_at_10,-0.05481220176139565,0.8804578896905748,"(-0.661605693228102, 0.5953607135535413)"
All_Beauty,preference_negative,consistency,true_positive,0.1231318333219931,0.7346958489218505,"(-0.5490615870591055, 0.6985979054772278)"
All_Beauty,preference_negative,consistency,true_negative,-0.22335363503321723,0.5350670417682213,"(-0.7478151913977668, 0.4727560250579106)"
All_Beauty,preference_negative,consistency,accuracy,-0.007411250859872837,0.9837887791914693,"(-0.6340787379282181, 0.6251321150569805)"
All_Beauty,preference_negative,nepc,hit_rate_at_1,0.19759274530120044,0.5842498904582769,"(-0.49341969688330356, 0.7356919165662003)"
All_Beauty,preference_negative,nepc,hit_rate_at_5,0.03507957454986127,0.923357791193224,"(-0.6079750853763689, 0.6503417616577172)"
All_Beauty,preference_negative,nepc,hit_rate_at_10,-0.17060131181587052,0.6374829032437278,"(-0.7226085610166745, 0.5142647770363002)"
All_Beauty,preference_negative,nepc,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,preference_negative,nepc,ndcg_at_5,0.0,1.0,"(nan, nan)"
