dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
All_Beauty,preference_positive,meteor,bertscore_precision,0.21301332972356016,0.554607030820319,"(-0.48114333482216504, 0.7429906232305622)"
All_Beauty,preference_positive,meteor,bertscore_recall,-0.7022055184284772,0.023572154179750893,"(-0.9235190527119119, -0.13009990839287966)"
All_Beauty,preference_positive,meteor,bertscore_f1,-0.5121210383517796,0.13019776033881997,"(-0.8633610069943712, 0.1734253902801754)"
All_Beauty,preference_positive,meteor,consistency,-0.741470991988246,0.014109838434145703,"(-0.9347224536828258, -0.20978076631502396)"
All_Beauty,preference_positive,meteor,nepc,0.6480194432784782,0.042738529067633285,"(0.03107002739955373, 0.9074123527910483)"
All_Beauty,preference_positive,bleu1,bertscore_precision,0.11937901885111679,0.7425483018058028,"(-0.5517166019918943, 0.6966427454991713)"
All_Beauty,preference_positive,bleu1,bertscore_recall,-0.688797499274714,0.027609226473883072,"(-0.9196049203145376, -0.10448460856572488)"
All_Beauty,preference_positive,bleu1,bertscore_f1,-0.5276651716607992,0.11698526488244108,"(-0.8686862236348974, 0.15268942036614183)"
All_Beauty,preference_positive,bleu1,consistency,-0.3513304857312144,0.31950823338675877,"(-0.8032682872315129, 0.35734243105146263)"
All_Beauty,preference_positive,bleu1,nepc,0.2678574513233802,0.45432265939819705,"(-0.4351583459279832, 0.7679661814092091)"
All_Beauty,preference_positive,rouge1_f,bertscore_precision,0.23229844370438588,0.5183919613785727,"(-0.46539745083183753, 0.7519444405884047)"
All_Beauty,preference_positive,rouge1_f,bertscore_recall,-0.6696604522093568,0.03415433976284203,"(-0.9139378189549741, -0.06921962685122941)"
All_Beauty,preference_positive,rouge1_f,bertscore_f1,-0.4797462946106713,0.16056466013990783,"(-0.852012842194539, 0.21474653371722185)"
All_Beauty,preference_positive,rouge1_f,consistency,-0.7572853322413241,0.01119266497432703,"(-0.939128712194315, -0.24399977407944431)"
All_Beauty,preference_positive,rouge1_f,nepc,0.6729475869359234,0.032962219717629575,"(0.07517213249708256, 0.9149180696186819)"
All_Beauty,preference_positive,bleu4,bertscore_precision,0.13599994828574397,0.7079418706729427,"(-0.5398535495977219, 0.7052373756723993)"
All_Beauty,preference_positive,bleu4,bertscore_recall,-0.7180263963375996,0.019354252684869868,"(-0.9280790248574854, -0.16134004168029834)"
All_Beauty,preference_positive,bleu4,bertscore_f1,-0.5474246443507126,0.10144520009449873,"(-0.8753436600471313, 0.12543608032762107)"
All_Beauty,preference_positive,bleu4,consistency,-0.3965925304126972,0.25651141143419876,"(-0.8211688028746926, 0.3105895643844089)"
All_Beauty,preference_positive,bleu4,nepc,0.27772116723767454,0.43721340059296177,"(-0.426479589123842, 0.7723022675343552)"
All_Beauty,preference_positive,bleu3,bertscore_precision,0.19952717974735906,0.5804993476434643,"(-0.491894644628212, 0.7366144092344397)"
All_Beauty,preference_positive,bleu3,bertscore_recall,-0.6749942070285945,0.032234439823939205,"(-0.915526950261974, -0.07889989835368913)"
All_Beauty,preference_positive,bleu3,bertscore_f1,-0.49319534253267844,0.1474785574112344,"(-0.8567699375586952, 0.19787766293998407)"
