dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
All_Beauty,vanilla_structured,meteor,hit_rate_at_1,0.380243737817751,0.2784065899255239,"(-0.32788104048754185, 0.8147980493313474)"
All_Beauty,vanilla_structured,meteor,hit_rate_at_5,0.4422759143308903,0.20059152403578703,"(-0.2596565755489914, 0.8384267385029743)"
All_Beauty,vanilla_structured,meteor,hit_rate_at_10,-0.5946052107365046,0.06982870099599178,"(-0.890752434903883, 0.055978130650417374)"
All_Beauty,vanilla_structured,meteor,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,vanilla_structured,meteor,ndcg_at_5,0.32422747289305726,0.3607259544864373,"(-0.3837353935576439, 0.7921438327215934)"
All_Beauty,vanilla_structured,meteor,ndcg_at_10,-0.29446560820043327,0.40886431131609324,"(-0.7795590878044574, 0.4114437103459459)"
All_Beauty,vanilla_structured,meteor,true_positive,-0.6816877958332627,0.029930577454652982,"(-0.91751066178632, -0.09120931437374907)"
All_Beauty,vanilla_structured,meteor,true_negative,0.33998109260555887,0.33645684722603836,"(-0.36853397225134316, 0.7986479781602951)"
All_Beauty,vanilla_structured,meteor,accuracy,-0.40451687659076535,0.24625351079681196,"(-0.824219127666564, 0.30203643078029047)"
All_Beauty,vanilla_structured,bleu1,hit_rate_at_1,0.27129175118509624,0.4483318210467977,"(-0.43215137147288407, 0.7694811183531605)"
All_Beauty,vanilla_structured,bleu1,hit_rate_at_5,0.6114802472878225,0.060315605946101025,"(-0.029505971508207798, 0.8961031929009055)"
All_Beauty,vanilla_structured,bleu1,hit_rate_at_10,-0.6143107791510182,0.058808577721677906,"(-0.8969926718048096, 0.024975827053940084)"
All_Beauty,vanilla_structured,bleu1,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,vanilla_structured,bleu1,ndcg_at_5,0.2282736231997373,0.5258684817257921,"(-0.46872050527163805, 0.7500914693300232)"
All_Beauty,vanilla_structured,bleu1,ndcg_at_10,-0.3871399774185193,0.2690510166986433,"(-0.8174982166726058, 0.3206445606372826)"
All_Beauty,vanilla_structured,bleu1,true_positive,-0.5189191129243073,0.12431136421604894,"(-0.8656996049129233, 0.16443088991091914)"
All_Beauty,vanilla_structured,bleu1,true_negative,0.2331818635774411,0.5167568128950609,"(-0.4646654217368922, 0.7523500588011968)"
All_Beauty,vanilla_structured,bleu1,accuracy,-0.4204285263163486,0.22636136420641534,"(-0.8302713302808008, 0.28451167171208985)"
All_Beauty,vanilla_structured,rouge1_f,hit_rate_at_1,0.39093847076262395,0.2639724352875257,"(-0.3166230573664075, 0.8189774496676517)"
All_Beauty,vanilla_structured,rouge1_f,hit_rate_at_5,0.42135876348709483,0.2252276556007891,"(-0.2834723404495859, 0.8306221927428903)"
All_Beauty,vanilla_structured,rouge1_f,hit_rate_at_10,-0.5656156483014186,0.08835543015813188,"(-0.8813646508596771, 0.09941494859170374)"
All_Beauty,vanilla_structured,rouge1_f,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,vanilla_structured,rouge1_f,ndcg_at_5,0.35897754877688165,0.308345420934128,"(-0.3496851962066282, 0.8063510167562931)"
All_Beauty,vanilla_structured,rouge1_f,ndcg_at_10,-0.24536858966937936,0.4944206717398646,"(-0.7579056535431083, 0.4544688363663887)"
All_Beauty,vanilla_structured,rouge1_f,true_positive,-0.6917080610455459,0.02669551990232623,"(-0.9204584973453064, -0.10997997328916984)"
All_Beauty,vanilla_structured,rouge1_f,true_negative,0.35164846939901256,0.31903991419213573,"(-0.3570259115546213, 0.8033969590016936)"
All_Beauty,vanilla_structured,rouge1_f,accuracy,-0.3901991026619671,0.2649568095796528,"(-0.8186899655300803, 0.3174078326091203)"
All_Beauty,vanilla_structured,bleu4,hit_rate_at_1,0.29658210372582705,0.4053446554368179,"(-0.4095154251680849, 0.7804671703181255)"
All_Beauty,vanilla_structured,bleu4,hit_rate_at_5,0.647567798236878,0.042931657175420676,"(0.030292549187383288, 0.9072748214741604)"
All_Beauty,vanilla_structured,bleu4,hit_rate_at_10,-0.5832200260970308,0.07676958576303411,"(-0.8870954238834394, 0.07333605656167995)"
All_Beauty,vanilla_structured,bleu4,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,vanilla_structured,bleu4,ndcg_at_5,0.23716823697535835,0.5094049684165162,"(-0.4613502830372035, 0.7541755010974213)"
All_Beauty,vanilla_structured,bleu4,ndcg_at_10,-0.36238830407729045,0.3034338801387921,"(-0.8077181862644814, 0.3462390964496682)"
All_Beauty,vanilla_structured,bleu4,true_positive,-0.4710216268133097,0.16941456537663746,"(-0.8488935891634468, 0.22547251810273955)"
All_Beauty,vanilla_structured,bleu4,true_negative,0.27393432136734375,0.44374660631515606,"(-0.42982691487045893, 0.7706430038163878)"
All_Beauty,vanilla_structured,bleu4,accuracy,-0.3340850137775242,0.34543963891073715,"(-0.7962261662414558, 0.37426809886534873)"
All_Beauty,vanilla_structured,bleu3,hit_rate_at_1,0.2901092071172901,0.4161542288350252,"(-0.4153929257581246, 0.7776835326371337)"
All_Beauty,vanilla_structured,bleu3,hit_rate_at_5,0.6445693927586046,0.04422866512203875,"(0.02514985542540209, 0.9063603603371503)"
All_Beauty,vanilla_structured,bleu3,hit_rate_at_10,-0.604387026577253,0.06420324828554357,"(-0.893864099339943, 0.040743859169403714)"
All_Beauty,vanilla_structured,bleu3,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,vanilla_structured,bleu3,ndcg_at_5,0.26282862870750984,0.46315937653732714,"(-0.43953332387039884, 0.7657377270961023)"
All_Beauty,vanilla_structured,bleu3,ndcg_at_10,-0.34791556382927574,0.32456020740840646,"(-0.8018837783413224, 0.3607313985187571)"
All_Beauty,vanilla_structured,bleu3,true_positive,-0.5072179277990714,0.13454820420803604,"(-0.861664874786934, 0.17984245338341803)"
All_Beauty,vanilla_structured,bleu3,true_negative,0.2700298538403686,0.45052891952895924,"(-0.43325807342618194, 0.7689251214602045)"
All_Beauty,vanilla_structured,bleu3,accuracy,-0.37391113824868,0.28715049935179543,"(-0.8123018540930762, 0.3344536815315048)"
All_Beauty,vanilla_structured,bertscore_precision,hit_rate_at_1,-0.42771921894805887,0.21756275791304114,"(-0.8330125233271969, 0.27632131497716345)"
All_Beauty,vanilla_structured,bertscore_precision,hit_rate_at_5,0.008200896760923537,0.9820617448000445,"(-0.6246507881515805, 0.6345506944560295)"
All_Beauty,vanilla_structured,bertscore_precision,hit_rate_at_10,0.5272744997072402,0.11730660640558158,"(-0.15321802270049176, 0.8685533432262093)"
All_Beauty,vanilla_structured,bertscore_precision,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,vanilla_structured,bertscore_precision,ndcg_at_5,-0.3736573336831988,0.2875039876674026,"(-0.8122014730960468, 0.33471567824061604)"
All_Beauty,vanilla_structured,bertscore_precision,ndcg_at_10,-0.21561333152542939,0.5496677748740686,"(-0.7442089345897078, 0.4790462932540404)"
All_Beauty,vanilla_structured,bertscore_precision,true_positive,0.20563575426046787,0.5687155050987438,"(-0.48705080591904143, 0.7395144039596298)"
All_Beauty,vanilla_structured,bertscore_precision,true_negative,-0.4915394276378748,0.14905349005190247,"(-0.856187541118482, 0.19997697803476447)"
All_Beauty,vanilla_structured,bertscore_precision,accuracy,0.060553790859445664,0.868023219287974,"(-0.5916291145682224, 0.6648325144036924)"
All_Beauty,vanilla_structured,rouge2_f,hit_rate_at_1,0.503953518552628,0.13749359357361474,"(-0.18408264492853166, 0.8605312098544291)"
All_Beauty,vanilla_structured,rouge2_f,hit_rate_at_5,0.39879378858186965,0.25363859555399004,"(-0.30822507086712414, 0.8220185754042751)"
All_Beauty,vanilla_structured,rouge2_f,hit_rate_at_10,-0.3255783945492795,0.3586113509415907,"(-0.7927057807459615, 0.3824466938929272)"
All_Beauty,vanilla_structured,rouge2_f,ndcg_at_1,0.0,1.0,"(nan, nan)"
All_Beauty,vanilla_structured,rouge2_f,ndcg_at_5,0.35957878110443414,0.30747661263136405,"(-0.3490791225728558, 0.8065923627514113)"
All_Beauty,vanilla_structured,rouge2_f,ndcg_at_10,-0.258420066621676,0.4709683856013873,"(-0.7637741489429755, 0.4433414687100473)"
All_Beauty,vanilla_structured,rouge2_f,true_positive,-0.5174570035506816,0.12556317147121984,"(-0.8651979009029666, 0.16637504000786124)"
All_Beauty,vanilla_structured,rouge2_f,true_negative,0.20934112078787345,0.5616124739027395,"(-0.4840916967364235, 0.7412638919796908)"
All_Beauty,vanilla_structured,rouge2_f,accuracy,-0.29650767871383527,0.4054681758720882,"(-0.7804352728603212, 0.40958333909515104)"
All_Beauty,vanilla_structured,bertscore_f1,hit_rate_at_1,-0.5395040642542468,0.10750733338661289,"(-0.8726898765861834, 0.13648389862969457)"
