dataset,profile_type,metric_a,metric_b,correlation,pvalue,confidence_interval
All_Beauty,vanilla_structured,meteor,bertscore_precision,-0.604807765108409,0.06396818910779284,"(-0.8939973165743016, 0.04008179996575795)"
All_Beauty,vanilla_structured,meteor,bertscore_recall,-0.5787845843041945,0.07959005069459932,"(-0.8856603238592181, 0.07999237833535407)"
All_Beauty,vanilla_structured,meteor,bertscore_f1,-0.6125303298758901,0.0597535900610581,"(-0.8964334424765001, 0.027828426234051937)"
All_Beauty,vanilla_structured,meteor,consistency,-0.6795033860547116,0.03066966676318647,"(-0.9168645774833585, -0.08717228251165285)"
All_Beauty,vanilla_structured,meteor,nepc,0.3119213140576314,0.38027345737266793,"(-0.39534912900214575, 0.7869880008401826)"
All_Beauty,vanilla_structured,bleu1,bertscore_precision,-0.5048262248568661,0.13670233589579425,"(-0.8608346298528767, 0.18295157566384745)"
All_Beauty,vanilla_structured,bleu1,bertscore_recall,-0.3440281760573876,0.330361199989125,"(-0.8003017618748373, 0.36456659926845497)"
All_Beauty,vanilla_structured,bleu1,bertscore_f1,-0.4201623674242663,0.22668633569452892,"(-0.8301708819261957, 0.2848087399579276)"
All_Beauty,vanilla_structured,bleu1,consistency,-0.5688137268682828,0.08617249075747786,"(-0.8824126779967261, 0.09474430768779679)"
All_Beauty,vanilla_structured,bleu1,nepc,0.2584931091668531,0.4708385336687596,"(-0.4432785797942994, 0.7638067585459322)"
All_Beauty,vanilla_structured,rouge1_f,bertscore_precision,-0.5982467895423335,0.06769832436455742,"(-0.8919140998646463, 0.0503418849419996)"
All_Beauty,vanilla_structured,rouge1_f,bertscore_recall,-0.5828208044794068,0.07702075477903139,"(-0.8869664947123878, 0.07393757845286444)"
All_Beauty,vanilla_structured,rouge1_f,bertscore_f1,-0.6130800902668391,0.05946073289874619,"(-0.8966062157306478, 0.026948723069395362)"
All_Beauty,vanilla_structured,rouge1_f,consistency,-0.6645932748547266,0.03604872129711611,"(-0.9124211413166134, -0.060126727157869986)"
All_Beauty,vanilla_structured,rouge1_f,nepc,0.3410472101935769,0.3348455199640828,"(-0.36749135065685257, 0.7990843052466262)"
