rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.23343848580441642,0.01904761904761905,0.11356466876971609,0.13580246913580246,0.22160537562299096,0.010473058184070155,0.0037929283865447525,0.002285496556508991,0.4153842628002167,0.4356924295425415,0.42529603838920593,1
0.2480916030534351,0.019157088122605363,0.11068702290076335,0.14402900890319864,0.21560143408585272,0.02477437921385214,0.005597063281881059,0.0026626897428390067,0.4104444980621338,0.44072362780570984,0.4250454902648926,2
0.24390243902439027,0.018348623853211007,0.11585365853658537,0.11286681715575622,0.1315028925288144,0.01445988779830225,0.0032192575655579383,0.0015203311649730964,0.37918683886528015,0.44026753306388855,0.40745076537132263,3
0.2181340341655716,0.013175230566534916,0.09724047306176084,0.09119746233148296,0.07299120459979143,0.01096246972236746,0.002149438462512419,0.0009526763083862582,0.35834717750549316,0.43303677439689636,0.39216741919517517,4
0.19806243272335844,0.012944983818770225,0.09041980624327234,0.07750984251968503,0.03761974427806951,0.005497556146194585,0.0010681070487339652,0.0004712395215865501,0.36357131600379944,0.44652658700942993,0.40080156922340393,5
0.18096135721017909,0.013220018885741265,0.08859566446748349,0.06772125723738627,0.02309173371945704,0.0032235998019570877,0.0006168127732815873,0.0002700576329993926,0.37235283851623535,0.46472156047821045,0.41344088315963745,6
0.1684558216350124,0.02481389578163772,0.0842279108175062,0.06362185736818253,0.011474570696295655,0.003258686994358634,0.0017629978948063764,0.0011423365767353243,0.36811354756355286,0.4721972644329071,0.4137093126773834,7
0.1381928625664389,0.01064638783269962,0.06226271829916477,0.05355553373033903,0.004886212548675122,0.0008479681905887713,0.00015241983012615002,6.468432422372737e-05,0.35712358355522156,0.4632476568222046,0.4033214747905731,8
0.13342599027102156,0.009742519137091163,0.06393328700486449,0.053290093133083034,0.003453792504996682,0.0008156012289658203,0.00012893435341081885,5.131284315793435e-05,0.3577611446380615,0.46424591541290283,0.40410637855529785,9
0.12452830188679245,0.006297229219143577,0.05911949685534592,0.04985299757126422,0.002767648392841994,0.0005659446495690233,9.061203847833154e-05,3.628932949886771e-05,0.36231645941734314,0.48080748319625854,0.41323575377464294,10
