rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.20415224913494812,0.020833333333333332,0.09688581314878894,0.0865561973870678,0.04974719653840755,0.012988603284256238,0.002431856847316314,0.001053725041038878,0.3618813157081604,0.4614224433898926,0.40563440322875977,1
0.19733333333333333,0.018716577540106954,0.096,0.08626578665741937,0.05532876149070748,0.013860049797423063,0.002374821537811612,0.000984021380403388,0.35961049795150757,0.4697854816913605,0.40738025307655334,2
0.18119266055045868,0.01839080459770115,0.09174311926605505,0.08155161945281522,0.04157920797000512,0.009764415701718909,0.0016372642172129105,0.0006710593138297984,0.3728953003883362,0.4845990538597107,0.421471506357193,3
0.1733615221987315,0.01271186440677966,0.08879492600422834,0.07437070938215103,0.02802568483363589,0.006617938768420435,0.0011117114400902833,0.00045606958607487215,0.3750738799571991,0.4945372939109802,0.4265998899936676,4
0.17440758293838865,0.011396011396011395,0.08530805687203791,0.07356646175551747,0.02292080880497094,0.004503075377823663,0.0007663516347265814,0.00031642677207090273,0.37324580550193787,0.4936782121658325,0.4250968098640442,5
0.1676159479251424,0.011409942950285247,0.07973962571196094,0.06737859140605136,0.012679937563952711,0.002060537924977987,0.00036229859317688076,0.00015205123733339255,0.36983829736709595,0.4924008250236511,0.4224087595939636,6
0.1613144137415982,0.010471204188481676,0.07766990291262135,0.06255309290292685,0.009256841059671048,0.0014784947047382603,0.00025845895300651386,0.00010815551673110808,0.36925208568573,0.4897618591785431,0.4210539162158966,7
0.14804845222072677,0.009433962264150943,0.07133243606998654,0.0559560590456574,0.0047348252264796465,0.0008732537119214142,0.0001455121722858126,5.945044432031347e-05,0.3691205084323883,0.4987452030181885,0.4242524802684784,8
0.13735558408215662,0.008997429305912597,0.06675224646983312,0.0512565397247539,0.0029418190894027613,0.0007367484492913245,0.00011281450481923166,4.418472219770787e-05,0.3698613941669464,0.5084262490272522,0.42821332812309265,9
0.12869565217391304,0.009286128845037725,0.06028985507246376,0.04713438864668286,0.0015918398954495921,0.00038674990867633056,5.8624583817082467e-05,2.284466754986959e-05,0.3746144771575928,0.5177874565124512,0.43471595644950867,10
