rouge1_f,rouge2_f,rougeL_f,meteor,bleu1,bleu2,bleu3,bleu4,bertscore_precision,bertscore_recall,bertscore_f1,interaction_number
0.2033898305084746,0.022857142857142857,0.0790960451977401,0.13049962714392244,0.18300653594771238,0.03469856435181512,0.009272895276335742,0.004801630111107961,0.408252090215683,0.43044477701187134,0.4190548062324524,1
0.20202020202020202,0.02033898305084746,0.10774410774410774,0.10818837505303351,0.16717145473100783,0.04588863048871144,0.020710490916272025,0.007833285893857386,0.37717658281326294,0.42349666357040405,0.3989968001842499,2
0.2670025188916877,0.02025316455696203,0.10579345088161209,0.10815784930324329,0.14310992987574025,0.03642958614432585,0.014565723444177014,0.005185018682236523,0.36824095249176025,0.43157488107681274,0.3974003493785858,3
0.2898550724637681,0.02494802494802495,0.10351966873706003,0.09330484037921231,0.08408624971539912,0.020001371323492542,0.007818258761932742,0.002751732479978995,0.3528430759906769,0.42955654859542847,0.38743898272514343,4
0.26287744227353466,0.028520499108734405,0.09946714031971582,0.08562793821356614,0.08549096432381548,0.022754731835504666,0.0037433801774532194,0.0015196919966993176,0.34375882148742676,0.416084349155426,0.37647944688796997,5
0.2412587412587412,0.02456140350877193,0.10139860139860139,0.07957686826916031,0.058202131950652145,0.017039146754440918,0.0027489385646444118,0.0011052500567449016,0.33656230568885803,0.4188484251499176,0.3732236921787262,6
0.20766773162939295,0.009615384615384616,0.0926517571884984,0.0692307329959616,0.04374880872890887,0.012965745324661626,0.0021002072493807753,0.0008460797021360726,0.3301761746406555,0.4070281982421875,0.36459633708000183,7
0.14093959731543623,0.010084033613445379,0.06711409395973154,0.03920013187449036,0.0013104448993877,0.00042240258764069934,6.472149598328418e-05,2.536219182924515e-05,0.3136536478996277,0.4389977753162384,0.3658885061740875,8
0.13409648405560098,0.004914004914004914,0.06377759607522486,0.03594682582745524,0.0008350444230777971,0.0001815468933948109,3.196714705625307e-05,1.3429042010285483e-05,0.3111276626586914,0.433321475982666,0.362196147441864,9
0.11983805668016194,0.008110300081103,0.058299595141700404,0.03175743117280979,0.00020860686001470508,7.196578640674977e-05,2.4305433719500546e-05,7.953146761648432e-06,0.30951613187789917,0.439846396446228,0.3633476495742798,10
0.11521418020679468,0.007396449704142012,0.053175775480059084,0.031113549598027763,0.0002453762942144908,7.95534699282901e-05,2.6312348025664207e-05,8.51905307207634e-06,0.3273351788520813,0.4585535228252411,0.3819897174835205,11
